city, pop_tot , pop_fb ,pop_fb_share,natrate,lsnblaborforceparticrate,lsfblaborforceparticrate,hsnblaborforceparticrate,hsfblaborforceparticrate,lsnbemplrate,lsfbemplrate,hsnbemplrate,hsfbemplrate,lsnbhighprestigerate,lsfbhighprestigerate,hsnbhighprestigerate,hsfbhighprestigerate,lsnbparttimerate,lsfbparttimerate,hsnbparttimerate,hsfbparttimerate,nbentrepreneurshiprate,fbentrepreneurshiprate,lsnbpovertyrate,lsfbpovertyrate,hsnbpovertyrate,hsfbpovertyrate,lsnbtrirecipient,lsfbtrirecipient,hsnbtrirecipient,hsfbtrirecipient,lsnbfoodstamprecipient,lsfbfoodstamprecipient,hsnbfoodstamprecipient,hsfbfoodstamprecipient,nbownershiprate,fbownershiprate,nboverburdenrate,fboverburdenrate,nbovercrowdedrate,fbovercrowdedrate,nbhealthinsu,fbhealthinsu,nbhs,fbhs,nbba,fbba,nbadv,fbadv,nbpubsoc,fbpubsoc,nbmilitaryvet,fbmilitaryvet, lsnbmediantotinc , lsfbmediantotinc , hsnbmediantotinc , hsfbmediantotinc , nbmedianbusinessincome , fbmedianbusinessincome , overall_score , overall_ranking , policy_score ,gov_leadership,econ_empower,Inclusivity,Community,legal_support,emergency_management,se_score,job_opps,econ_prosperity,Livability,civic_particip
"Cleveland city, OH",385402.00,22880.00,0.06,0.73,0.55,0.53,0.79,0.64,0.84,0.88,0.96,0.96,0.04,0.02,0.29,0.37,0.29,0.20,0.14,0.26,0.06,0.08,0.35,0.35,0.11,0.35,0.54,0.45,0.13,0.12,0.38,0.32,0.10,0.13,0.41,0.43,0.39,0.48,0.00,0.02,0.93,0.87,0.82,0.72,0.17,0.26,0.06,0.14,0.06,0.02,0.07,0.02,13500.00,12000.00,44846.00,20859.00,19853.00,26282.00,3.54,21.00,3.83,4.00,4.00,2.00,5.00,3.00,5.00,3.25,1.00,4.00,5.00,3.00
"Colorado Springs city, CO",458635.00,32329.00,0.07,0.77,0.65,0.62,0.74,0.69,0.93,0.95,0.98,0.94,0.05,0.05,0.25,0.30,0.28,0.25,0.16,0.15,0.10,0.12,0.14,0.14,0.05,0.08,0.31,0.22,0.07,0.10,0.14,0.17,0.03,0.05,0.62,0.56,0.42,0.40,0.01,0.03,0.93,0.81,0.96,0.79,0.40,0.31,0.15,0.14,0.07,0.06,0.19,0.10,20362.00,20859.00,50000.00,36754.00,20000.00,17046.00,2.54,77.00,1.83,1.00,2.00,4.00,1.00,2.00,1.00,3.25,2.00,3.00,3.00,5.00
"Columbus city, OH",866308.00,95938.00,0.11,0.76,0.62,0.67,0.82,0.78,0.93,0.93,0.98,0.98,0.05,0.04,0.27,0.33,0.27,0.24,0.13,0.15,0.06,0.08,0.21,0.29,0.05,0.14,0.34,0.34,0.05,0.10,0.18,0.28,0.03,0.06,0.53,0.32,0.34,0.35,0.00,0.02,0.93,0.78,0.92,0.80,0.38,0.38,0.14,0.17,0.06,0.03,0.08,0.02,18644.00,15107.00,53268.00,35000.00,25000.00,19177.00,3.29,33.00,4.33,5.00,4.00,3.00,5.00,4.00,5.00,2.25,2.00,1.00,2.00,4.00
"Corpus Christi city, TX",323931.00,29477.00,0.09,0.61,0.60,0.62,0.74,0.75,0.93,0.98,0.98,0.97,0.04,0.03,0.25,0.35,0.21,0.20,0.12,0.14,0.09,0.16,0.18,0.19,0.05,0.13,0.26,0.14,0.04,0.04,0.21,0.18,0.04,0.05,0.57,0.55,0.36,0.39,0.01,0.03,0.84,0.65,0.85,0.65,0.21,0.24,0.07,0.11,0.08,0.03,0.12,0.03,17300.00,15644.00,50397.00,46932.00,26634.00,18773.00,2.42,83.00,1.33,1.00,1.00,2.00,1.00,2.00,1.00,3.50,5.00,4.00,3.00,2.00
"Dallas city, TX",1327234.00,321856.00,0.24,0.65,0.59,0.69,0.79,0.78,0.93,0.97,0.98,0.97,0.04,0.01,0.28,0.29,0.21,0.13,0.11,0.13,0.09,0.10,0.22,0.20,0.05,0.13,0.34,0.11,0.02,0.04,0.20,0.18,0.02,0.05,0.46,0.42,0.37,0.40,0.01,0.06,0.85,0.52,0.90,0.51,0.41,0.18,0.15,0.08,0.04,0.01,0.07,0.01,16187.00,19177.00,60459.00,41200.00,30000.00,22000.00,3.17,40.00,4.33,5.00,4.00,3.00,5.00,4.00,5.00,2.00,3.00,3.00,1.00,1.00
"Denver city, CO",706029.00,105169.00,0.15,0.68,0.63,0.67,0.83,0.79,0.95,0.97,0.98,0.97,0.05,0.02,0.26,0.26,0.23,0.15,0.13,0.11,0.11,0.09,0.17,0.18,0.05,0.08,0.39,0.25,0.06,0.10,0.15,0.15,0.02,0.05,0.50,0.42,0.41,0.47,0.01,0.03,0.93,0.72,0.94,0.64,0.55,0.27,0.21,0.11,0.06,0.02,0.07,0.02,20963.00,20503.00,58033.00,46932.00,29000.00,24819.00,2.83,58.00,4.17,5.00,3.00,4.00,5.00,4.00,4.00,1.50,1.00,3.00,1.00,1.00
"Detroit city, MI",677428.00,44195.00,0.07,0.66,0.52,0.53,0.69,0.78,0.82,0.89,0.94,0.92,0.03,0.02,0.22,0.26,0.27,0.21,0.17,0.18,0.05,0.08,0.37,0.44,0.10,0.22,0.56,0.49,0.15,0.18,0.43,0.35,0.13,0.12,0.47,0.56,0.43,0.34,0.01,0.04,0.93,0.78,0.84,0.59,0.16,0.19,0.07,0.09,0.05,0.02,0.06,0.01,12000.00,10014.00,40000.00,29567.00,15644.00,20362.00,3.96,12.00,4.17,5.00,4.00,3.00,5.00,3.00,5.00,3.75,4.00,5.00,5.00,1.00
"Durham city, NC",267811.00,37791.00,0.14,0.80,0.57,0.70,0.79,0.77,0.93,0.96,0.97,0.97,0.07,0.02,0.29,0.41,0.30,0.15,0.14,0.14,0.06,0.09,0.20,0.26,0.06,0.11,0.31,0.10,0.03,0.02,0.18,0.21,0.03,0.02,0.55,0.44,0.37,0.38,0.01,0.02,0.92,0.63,0.93,0.69,0.50,0.43,0.24,0.24,0.06,0.01,0.08,0.01,15644.00,16270.00,51670.00,42761.00,26978.00,20859.00,2.88,57.00,2.50,3.00,1.00,2.00,3.00,3.00,3.00,3.25,5.00,4.00,2.00,2.00
"El Paso city, TX",655971.00,157059.00,0.24,0.73,0.61,0.50,0.79,0.77,0.93,0.94,0.97,0.97,0.03,0.03,0.28,0.28,0.25,0.25,0.13,0.11,0.06,0.13,0.21,0.27,0.05,0.10,0.31,0.20,0.04,0.05,0.21,0.32,0.05,0.09,0.58,0.59,0.35,0.42,0.01,0.03,0.83,0.70,0.90,0.57,0.27,0.16,0.09,0.06,0.09,0.04,0.14,0.04,14382.00,11889.00,48000.00,38589.00,20755.00,16187.00,2.08,92.00,1.67,1.00,1.00,3.00,3.00,1.00,1.00,2.50,3.00,2.00,2.00,3.00
"Fort Wayne city, IN",265444.00,20271.00,0.08,0.66,0.62,0.65,0.77,0.66,0.93,0.94,0.98,0.94,0.04,0.02,0.26,0.22,0.26,0.16,0.17,0.17,0.06,0.09,0.18,0.26,0.04,0.18,0.31,0.27,0.06,0.09,0.15,0.22,0.03,0.07,0.64,0.57,0.31,0.34,0.00,0.01,0.92,0.74,0.91,0.54,0.28,0.16,0.09,0.06,0.04,0.01,0.09,0.02,20455.00,18773.00,44820.00,29136.00,20859.00,19816.00,2.00,94.00,2.50,3.00,3.00,1.00,4.00,2.00,2.00,1.50,1.00,1.00,3.00,1.00
"Fort Worth city, TX",846117.00,133297.00,0.16,0.72,0.62,0.67,0.78,0.76,0.93,0.95,0.98,0.94,0.05,0.01,0.26,0.30,0.21,0.15,0.13,0.12,0.08,0.10,0.15,0.20,0.04,0.13,0.26,0.10,0.03,0.04,0.15,0.19,0.03,0.07,0.60,0.60,0.37,0.39,0.01,0.03,0.86,0.58,0.91,0.55,0.32,0.18,0.10,0.06,0.06,0.02,0.10,0.01,19800.00,18378.00,55996.00,38400.00,25569.00,25453.00,1.58,99.00,1.17,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,1.00
"Fremont city, CA",234447.00,112527.00,0.48,0.77,0.57,0.56,0.77,0.75,0.95,0.97,0.96,0.97,0.04,0.07,0.33,0.39,0.22,0.18,0.12,0.10,0.08,0.07,0.05,0.06,0.03,0.03,0.26,0.31,0.07,0.06,0.06,0.06,0.01,0.01,0.62,0.59,0.43,0.31,0.02,0.04,0.98,0.98,0.95,0.92,0.38,0.64,0.13,0.33,0.04,0.03,0.06,0.01,23438.00,20859.00,73000.00,90000.00,48870.00,41717.00,4.33,2.00,4.67,4.00,5.00,5.00,4.00,5.00,5.00,4.00,3.00,4.00,5.00,4.00
"Fresno city, CA",524090.00,102725.00,0.20,0.67,0.57,0.60,0.73,0.75,0.89,0.92,0.97,0.94,0.05,0.02,0.27,0.35,0.31,0.20,0.17,0.17,0.08,0.11,0.26,0.28,0.06,0.09,0.52,0.46,0.11,0.16,0.25,0.30,0.05,0.08,0.49,0.46,0.46,0.51,0.03,0.05,0.94,0.82,0.87,0.55,0.25,0.17,0.08,0.06,0.09,0.03,0.08,0.02,13975.00,13236.00,50906.00,39632.00,28507.00,22527.00,3.33,32.00,3.67,2.00,3.00,4.00,4.00,5.00,4.00,3.00,4.00,3.00,3.00,2.00
"Garland city, TX",241686.00,67368.00,0.28,0.79,0.66,0.71,0.75,0.73,0.93,0.96,0.97,0.95,0.05,0.02,0.25,0.31,0.24,0.15,0.14,0.13,0.07,0.14,0.13,0.16,0.03,0.09,0.27,0.11,0.04,0.07,0.12,0.15,0.03,0.10,0.64,0.61,0.39,0.47,0.01,0.04,0.86,0.61,0.92,0.60,0.30,0.18,0.09,0.06,0.04,0.02,0.09,0.02,20719.00,20362.00,52000.00,35020.00,23740.00,20859.00,2.46,80.00,2.17,1.00,1.00,2.00,2.00,3.00,4.00,2.75,5.00,2.00,1.00,3.00
"Gilbert town, AZ",243660.00,21966.00,0.09,0.85,0.66,0.60,0.78,0.76,0.95,0.95,0.98,0.97,0.07,0.09,0.28,0.39,0.26,0.20,0.12,0.15,0.10,0.11,0.06,0.08,0.04,0.05,0.15,0.15,0.05,0.07,0.04,0.10,0.02,0.04,0.75,0.78,0.34,0.48,0.00,0.02,0.95,0.91,0.97,0.88,0.43,0.44,0.15,0.17,0.06,0.04,0.09,0.04,22000.00,18773.00,58595.00,56319.00,31288.00,30000.00,2.50,78.00,1.50,1.00,1.00,1.00,1.00,1.00,4.00,3.50,2.00,2.00,5.00,5.00
"Glendale city, AZ",250034.00,44454.00,0.18,0.69,0.62,0.64,0.72,0.71,0.93,0.96,0.97,0.95,0.05,0.03,0.30,0.34,0.23,0.20,0.15,0.08,0.07,0.11,0.19,0.23,0.07,0.10,0.35,0.33,0.08,0.14,0.18,0.27,0.04,0.12,0.57,0.56,0.40,0.45,0.01,0.05,0.90,0.77,0.89,0.63,0.23,0.17,0.08,0.07,0.06,0.03,0.10,0.02,18992.00,17104.00,49000.00,36000.00,22945.00,22661.00,2.71,65.00,2.17,2.00,1.00,2.00,1.00,3.00,4.00,3.25,4.00,3.00,3.00,3.00
"Greensboro city, NC",290282.00,31197.00,0.11,0.76,0.57,0.67,0.74,0.76,0.91,0.96,0.97,0.98,0.04,0.01,0.24,0.27,0.32,0.19,0.16,0.13,0.08,0.12,0.24,0.23,0.06,0.11,0.30,0.21,0.04,0.08,0.19,0.20,0.04,0.09,0.52,0.48,0.40,0.37,0.01,0.03,0.91,0.75,0.91,0.75,0.39,0.34,0.14,0.15,0.04,0.01,0.08,0.02,14601.00,15980.00,44000.00,41500.00,21307.00,21307.00,3.46,26.00,3.17,4.00,1.00,3.00,5.00,3.00,3.00,3.75,5.00,4.00,3.00,3.00
"Henderson city, NV",303225.00,43434.00,0.14,0.85,0.60,0.60,0.68,0.62,0.92,0.94,0.96,0.97,0.05,0.06,0.24,0.31,0.25,0.19,0.15,0.13,0.10,0.12,0.09,0.10,0.05,0.05,0.17,0.09,0.05,0.07,0.08,0.09,0.03,0.02,0.64,0.70,0.36,0.35,0.00,0.01,0.94,0.90,0.95,0.88,0.33,0.37,0.12,0.13,0.06,0.04,0.13,0.04,23883.00,25030.00,53955.00,43164.00,32373.00,33300.00,3.75,16.00,3.00,2.00,3.00,4.00,3.00,3.00,3.00,4.50,3.00,5.00,5.00,5.00
"Hialeah city, FL",231175.00,167162.00,0.72,0.76,0.59,0.55,0.80,0.72,0.91,0.96,0.96,0.98,0.04,0.03,0.26,0.15,0.25,0.19,0.12,0.15,0.08,0.17,0.24,0.23,0.06,0.16,0.49,0.32,0.05,0.18,0.31,0.44,0.13,0.37,0.53,0.46,0.58,0.61,0.02,0.03,0.87,0.78,0.87,0.69,0.20,0.16,0.06,0.04,0.05,0.02,0.04,0.01,11199.00,12949.00,35634.00,22411.00,24000.00,17308.00,2.21,91.00,1.67,1.00,2.00,2.00,3.00,1.00,1.00,2.75,3.00,1.00,4.00,3.00
"Honolulu CDP, HI",343776.00,90902.00,0.26,0.76,0.61,0.60,0.75,0.69,0.95,0.96,0.98,0.99,0.04,0.03,0.27,0.28,0.24,0.23,0.13,0.17,0.08,0.14,0.11,0.17,0.04,0.09,0.24,0.27,0.05,0.09,0.12,0.21,0.02,0.07,0.50,0.40,0.46,0.46,0.03,0.10,0.97,0.93,0.96,0.76,0.43,0.28,0.16,0.10,0.11,0.04,0.15,0.03,24503.00,19283.00,57408.00,39840.00,28978.00,23257.00,1.92,95.00,1.83,1.00,2.00,3.00,1.00,1.00,3.00,2.00,1.00,1.00,3.00,3.00
"Houston city, TX",2302286.00,678493.00,0.30,0.70,0.60,0.66,0.78,0.77,0.91,0.96,0.97,0.96,0.04,0.01,0.33,0.35,0.22,0.17,0.12,0.12,0.08,0.12,0.22,0.24,0.05,0.11,0.34,0.16,0.03,0.05,0.19,0.21,0.03,0.06,0.50,0.42,0.40,0.42,0.01,0.04,0.85,0.59,0.90,0.61,0.38,0.25,0.14,0.11,0.04,0.02,0.07,0.01,15644.00,16086.00,59351.00,44846.00,30000.00,20503.00,3.42,29.00,4.33,5.00,4.00,3.00,5.00,4.00,5.00,2.50,4.00,2.00,2.00,2.00
"Indianapolis city (balance), IN",864213.00,81931.00,0.10,0.62,0.61,0.68,0.81,0.72,0.91,0.95,0.97,0.95,0.04,0.01,0.27,0.31,0.24,0.14,0.13,0.13,0.06,0.10,0.20,0.25,0.05,0.13,0.34,0.23,0.05,0.09,0.17,0.18,0.03,0.06,0.55,0.38,0.39,0.38,0.00,0.03,0.91,0.69,0.89,0.67,0.31,0.29,0.11,0.11,0.06,0.02,0.09,0.01,18345.00,18326.00,47941.00,30544.00,23988.00,24435.00,2.58,74.00,3.17,3.00,3.00,1.00,5.00,3.00,4.00,2.00,2.00,3.00,2.00,1.00
