city, pop_tot , pop_fb ,pop_fb_share,natrate,lsnblaborforceparticrate,lsfblaborforceparticrate,hsnblaborforceparticrate,hsfblaborforceparticrate,lsnbemplrate,lsfbemplrate,hsnbemplrate,hsfbemplrate,lsnbhighprestigerate,lsfbhighprestigerate,hsnbhighprestigerate,hsfbhighprestigerate,lsnbparttimerate,lsfbparttimerate,hsnbparttimerate,hsfbparttimerate,nbentrepreneurshiprate,fbentrepreneurshiprate,lsnbpovertyrate,lsfbpovertyrate,hsnbpovertyrate,hsfbpovertyrate,lsnbtrirecipient,lsfbtrirecipient,hsnbtrirecipient,hsfbtrirecipient,lsnbfoodstamprecipient,lsfbfoodstamprecipient,hsnbfoodstamprecipient,hsfbfoodstamprecipient,nbownershiprate,fbownershiprate,nboverburdenrate,fboverburdenrate,nbovercrowdedrate,fbovercrowdedrate,nbhealthinsu,fbhealthinsu,nbhs,fbhs,nbba,fbba,nbadv,fbadv,nbpubsoc,fbpubsoc,nbmilitaryvet,fbmilitaryvet, lsnbmediantotinc , lsfbmediantotinc , hsnbmediantotinc , hsfbmediantotinc , nbmedianbusinessincome , fbmedianbusinessincome , overall_score , overall_ranking , policy_score ,gov_leadership,econ_empower,Inclusivity,Community,legal_support,emergency_management,se_score,job_opps,econ_prosperity,Livability,civic_particip
"Boise City city, ID"," 225,665 "," 13,685 ",6.1%,72.4%,64.1%,65.5%,75.4%,74.5%,94.7%,92.8%,97.3%,99.5%,5.2%,2.8%,30.7%,38.6%,25.4%,21.6%,17.9%,15.8%,11.6%,8.7%,14.0%,26.5%,5.1%,11.3%,19.2%,17.4%,3.5%,5.2%,10.7%,15.9%,2.1%,8.5%,63.8%,53.5%,40.4%,44.0%,0.4%,2.2%,90.9%,78.3%,95.5%,80.1%,37.8%,35.7%,12.6%,17.8%,7.1%,3.7%,11.1%,2.3%," $20,362 "," $18,773 "," $48,870 "," $45,811 "," $26,978 "," $31,961 ", 2.63 , 72 , 2.50 ,3,1,3,3,2,3,2.75,2,3,3,3
"Boston city, MA"," 684,090 "," 196,317 ",28.7%,73.8%,57.5%,62.3%,85.0%,73.5%,88.0%,92.9%,97.4%,96.1%,4.4%,3.2%,30.0%,36.0%,36.8%,28.9%,11.2%,15.4%,5.1%,6.7%,26.5%,24.6%,6.7%,17.6%,44.1%,48.2%,7.0%,14.7%,23.1%,29.1%,3.1%,8.5%,37.7%,28.5%,41.2%,47.9%,0.8%,2.1%,97.3%,93.5%,93.1%,76.3%,57.6%,34.3%,25.4%,17.6%,6.8%,3.3%,4.6%,1.2%," $11,199 "," $15,755 "," $64,746 "," $42,761 "," $26,978 "," $25,000 ", 3.21 , 39 , 4.17 ,5,4,3,5,5,3,2.25,2,2,2,3
"Buffalo city, NY"," 256,513 "," 26,978 ",10.5%,76.1%,53.5%,52.7%,79.3%,69.2%,90.9%,93.4%,96.6%,94.6%,3.8%,1.9%,22.3%,29.2%,31.1%,32.3%,15.2%,20.1%,5.4%,6.3%,32.5%,44.8%,9.8%,22.6%,52.5%,66.3%,13.7%,27.4%,37.9%,45.0%,9.9%,20.1%,41.3%,35.8%,42.5%,44.9%,0.7%,3.5%,95.4%,93.3%,86.5%,68.2%,27.5%,26.7%,11.2%,11.8%,6.5%,2.9%,7.1%,2.1%," $14,601 "," $9,800 "," $43,803 "," $26,438 "," $20,362 "," $20,395 ", 3.67 , 17 , 4.83 ,5,5,5,5,4,5,2.5,1,1,4,4
"Chandler city, AZ"," 253,729 "," 37,518 ",14.8%,72.4%,62.3%,61.3%,75.9%,76.4%,94.6%,97.2%,97.7%,97.2%,6.4%,3.3%,27.6%,38.0%,22.6%,22.4%,11.7%,9.3%,8.0%,9.5%,9.2%,14.6%,3.5%,5.0%,19.4%,18.7%,3.9%,4.8%,7.3%,10.2%,1.5%,1.3%,65.4%,63.5%,35.4%,34.8%,0.8%,0.9%,93.5%,85.6%,95.6%,81.0%,42.0%,45.9%,14.3%,23.6%,5.1%,2.5%,10.4%,2.5%," $23,012 "," $18,000 "," $55,996 "," $61,000 "," $26,978 "," $22,160 ", 2.96 , 50 , 2.17 ,1,1,1,3,3,4,3.75,4,3,5,3
"Charlotte city, NC"," 853,971 "," 134,173 ",15.7%,73.1%,62.9%,70.3%,81.5%,75.5%,92.4%,95.0%,97.5%,96.6%,4.5%,1.7%,23.5%,27.7%,26.1%,17.2%,11.6%,9.2%,8.4%,9.7%,16.6%,21.6%,3.4%,6.9%,28.1%,12.1%,2.6%,3.3%,15.7%,16.4%,2.7%,4.5%,55.0%,43.8%,36.7%,36.2%,0.4%,2.0%,91.6%,65.2%,93.9%,69.9%,46.5%,34.6%,15.6%,14.6%,3.9%,1.5%,8.0%,1.2%," $17,579 "," $19,177 "," $54,653 "," $45,000 "," $26,073 "," $25,030 ", 3.25 , 36 , 3.50 ,5,4,1,5,3,3,3,3,4,2,3
"Chesapeake city, VA"," 240,142 "," 15,183 ",6.3%,84.6%,59.6%,67.8%,79.5%,75.8%,94.1%,97.4%,97.4%,97.5%,6.7%,7.1%,25.5%,28.0%,22.1%,19.2%,12.7%,14.5%,6.1%,10.8%,10.1%,15.9%,2.4%,3.4%,18.8%,10.4%,2.8%,3.7%,9.6%,10.6%,2.0%,4.6%,70.7%,66.4%,42.3%,52.9%,0.1%,2.7%,93.2%,77.3%,92.6%,84.2%,32.5%,37.4%,12.2%,12.0%,10.2%,6.2%,20.3%,11.6%," $22,000 "," $21,000 "," $59,051 "," $40,725 "," $26,634 "," $34,639 ", 2.67 , 66 , 1.33 ,1,1,3,1,1,1,4,5,4,2,5
"Chicago city, IL"," 2,707,692 "," 554,271 ",20.5%,73.0%,56.4%,61.2%,85.1%,75.7%,85.4%,94.6%,97.0%,96.2%,3.5%,1.7%,26.4%,30.6%,28.4%,19.0%,12.0%,14.4%,7.0%,10.5%,23.9%,18.9%,6.2%,12.6%,45.3%,22.8%,5.9%,9.1%,28.9%,21.7%,4.3%,7.0%,43.7%,47.7%,40.2%,41.2%,0.8%,2.7%,93.6%,77.4%,90.4%,70.4%,43.4%,27.9%,17.7%,11.7%,6.8%,2.5%,4.7%,1.0%," $13,767 "," $18,561 "," $61,087 "," $42,761 "," $25,569 "," $20,362 ", 4.38 , 1 , 5.00 ,5,5,5,5,5,5,3.75,3,5,4,3
"Chula Vista city, CA"," 267,636 "," 84,514 ",31.6%,72.4%,65.3%,58.8%,78.3%,72.8%,89.8%,91.4%,96.2%,96.8%,5.3%,5.0%,26.1%,39.9%,24.7%,22.0%,14.1%,15.8%,6.3%,11.8%,10.9%,13.5%,3.4%,4.8%,33.1%,29.1%,7.7%,11.0%,8.3%,13.4%,2.3%,3.7%,62.3%,51.8%,51.9%,57.1%,2.1%,4.8%,94.0%,88.0%,92.3%,71.1%,30.2%,25.1%,10.3%,7.2%,9.9%,6.8%,16.0%,7.3%," $18,776 "," $16,800 "," $61,509 "," $48,870 "," $29,724 "," $25,351 ", 4.33 , 2 , 4.67 ,4,5,5,5,4,5,4,5,2,4,5
"Cincinnati city, OH"," 301,926 "," 17,828 ",5.9%,75.7%,60.2%,58.6%,80.9%,78.3%,89.7%,92.6%,97.7%,96.6%,4.7%,3.6%,25.8%,38.6%,30.7%,20.2%,15.1%,16.9%,6.1%,6.2%,31.0%,34.5%,7.0%,15.0%,42.7%,17.7%,7.0%,4.6%,26.0%,16.6%,3.9%,5.0%,38.9%,31.8%,37.8%,29.1%,0.6%,3.3%,94.1%,72.4%,88.3%,81.4%,34.1%,45.4%,13.8%,26.4%,4.8%,1.2%,6.3%,1.6%," $15,272 "," $14,136 "," $50,000 "," $40,257 "," $20,362 "," $15,128 ", 3.88 , 14 , 4.50 ,5,4,4,5,4,5,3.25,3,4,4,2
"Cleveland city, OH"," 385,402 "," 22,880 ",5.9%,73.0%,55.2%,52.7%,78.5%,64.0%,84.4%,87.9%,95.8%,95.6%,4.1%,2.2%,28.9%,36.7%,28.5%,19.8%,13.5%,25.6%,6.3%,7.9%,34.8%,35.2%,10.6%,34.8%,53.5%,44.5%,13.3%,11.7%,37.9%,32.0%,10.4%,12.8%,41.2%,42.5%,39.4%,47.8%,0.4%,2.3%,92.5%,87.1%,81.9%,72.0%,16.9%,26.1%,6.2%,13.9%,6.3%,2.1%,7.3%,2.1%," $13,500 "," $12,000 "," $44,846 "," $20,859 "," $19,853 "," $26,282 ", 3.54 , 21 , 3.83 ,4,4,2,5,3,5,3.25,1,4,5,3
"Colorado Springs city, CO"," 458,635 "," 32,329 ",7.0%,76.9%,64.6%,61.9%,74.1%,69.1%,92.6%,94.9%,97.5%,94.1%,5.4%,5.3%,24.8%,30.4%,27.6%,24.6%,16.4%,14.7%,9.7%,12.0%,13.6%,13.8%,4.7%,7.5%,31.2%,21.6%,7.3%,9.9%,13.9%,16.6%,3.3%,4.7%,61.9%,56.0%,42.1%,39.6%,0.7%,3.0%,93.4%,80.8%,95.5%,79.0%,40.1%,31.2%,15.3%,13.7%,7.4%,5.6%,19.1%,9.9%," $20,362 "," $20,859 "," $50,000 "," $36,754 "," $20,000 "," $17,046 ", 2.54 , 77 , 1.83 ,1,2,4,1,2,1,3.25,2,3,3,5
"Columbus city, OH"," 866,308 "," 95,938 ",11.1%,75.8%,62.2%,66.7%,81.8%,78.1%,92.6%,93.1%,97.9%,97.7%,5.2%,3.6%,27.1%,33.2%,27.1%,23.7%,13.4%,15.2%,6.4%,8.3%,21.0%,29.4%,5.0%,13.8%,34.1%,33.9%,5.0%,9.5%,17.6%,28.4%,2.7%,6.4%,53.2%,32.0%,34.2%,35.4%,0.3%,2.3%,93.3%,78.4%,91.7%,80.3%,38.2%,37.8%,13.5%,16.5%,5.7%,3.1%,8.2%,1.6%," $18,644 "," $15,107 "," $53,268 "," $35,000 "," $25,000 "," $19,177 ", 3.29 , 33 , 4.33 ,5,4,3,5,4,5,2.25,2,1,2,4
"Corpus Christi city, TX"," 323,931 "," 29,477 ",9.1%,61.0%,60.2%,62.4%,73.9%,74.5%,92.5%,97.8%,97.9%,96.8%,3.7%,3.3%,24.5%,34.6%,21.3%,19.7%,12.4%,14.4%,9.1%,15.8%,18.2%,18.9%,5.1%,12.9%,25.7%,13.9%,3.9%,4.4%,20.5%,18.2%,4.1%,5.4%,56.8%,55.0%,36.2%,38.6%,1.3%,2.8%,83.9%,65.0%,85.2%,65.0%,21.4%,24.1%,7.4%,10.8%,7.8%,3.4%,12.0%,2.6%," $17,300 "," $15,644 "," $50,397 "," $46,932 "," $26,634 "," $18,773 ", 2.42 , 83 , 1.33 ,1,1,2,1,2,1,3.5,5,4,3,2
"Dallas city, TX"," 1,327,234 "," 321,856 ",24.3%,64.5%,59.0%,69.1%,79.4%,78.1%,92.9%,96.8%,97.7%,96.5%,4.0%,1.1%,28.3%,28.7%,20.8%,13.3%,11.2%,12.8%,9.2%,10.4%,21.6%,20.4%,4.5%,13.4%,34.1%,11.3%,2.4%,3.5%,19.6%,17.5%,2.2%,5.4%,45.8%,41.8%,37.0%,39.7%,1.0%,5.8%,85.1%,52.0%,90.2%,51.3%,40.5%,18.3%,14.6%,7.7%,4.1%,1.1%,6.6%,0.8%," $16,187 "," $19,177 "," $60,459 "," $41,200 "," $30,000 "," $22,000 ", 3.17 , 40 , 4.33 ,5,4,3,5,4,5,2,3,3,1,1
"Denver city, CO"," 706,029 "," 105,169 ",14.9%,67.7%,62.6%,67.2%,82.6%,79.0%,94.6%,96.5%,97.7%,96.6%,4.7%,1.6%,26.2%,26.1%,23.3%,15.0%,13.2%,10.9%,10.5%,9.3%,17.0%,17.8%,5.1%,7.9%,39.2%,25.0%,6.0%,9.6%,15.4%,14.5%,1.9%,5.4%,50.4%,42.1%,41.0%,47.4%,0.9%,3.2%,93.4%,71.9%,94.0%,63.9%,54.5%,27.0%,21.2%,11.2%,6.1%,1.7%,6.8%,1.9%," $20,963 "," $20,503 "," $58,033 "," $46,932 "," $29,000 "," $24,819 ", 2.83 , 58 , 4.17 ,5,3,4,5,4,4,1.5,1,3,1,1
"Detroit city, MI"," 677,428 "," 44,195 ",6.5%,65.5%,51.8%,53.3%,68.5%,77.5%,81.7%,89.4%,94.4%,92.2%,2.9%,2.2%,22.3%,25.8%,27.4%,20.6%,17.2%,17.7%,5.4%,7.9%,36.6%,44.0%,9.7%,21.5%,56.0%,48.6%,15.1%,17.5%,42.6%,34.8%,12.5%,11.7%,46.9%,56.3%,43.2%,33.7%,0.7%,4.2%,92.6%,78.1%,83.5%,58.5%,16.3%,19.4%,6.7%,9.2%,5.3%,1.8%,6.0%,0.8%," $12,000 "," $10,014 "," $40,000 "," $29,567 "," $15,644 "," $20,362 ", 3.96 , 12 , 4.17 ,5,4,3,5,3,5,3.75,4,5,5,1
"Durham city, NC"," 267,811 "," 37,791 ",14.1%,80.3%,56.6%,70.2%,78.6%,76.9%,93.2%,96.3%,97.4%,97.4%,6.8%,1.6%,28.7%,41.3%,29.8%,14.9%,13.5%,13.6%,6.2%,8.5%,19.9%,26.2%,6.0%,10.7%,30.8%,10.0%,3.0%,2.1%,17.5%,21.3%,3.1%,2.2%,55.1%,44.1%,37.1%,37.5%,0.6%,2.1%,91.5%,62.8%,92.9%,68.9%,50.4%,42.7%,23.6%,23.7%,5.9%,1.2%,8.1%,1.1%," $15,644 "," $16,270 "," $51,670 "," $42,761 "," $26,978 "," $20,859 ", 2.88 , 57 , 2.50 ,3,1,2,3,3,3,3.25,5,4,2,2
"El Paso city, TX"," 655,971 "," 157,059 ",23.9%,72.7%,60.6%,49.8%,78.8%,77.1%,92.9%,94.1%,96.8%,97.0%,3.0%,2.6%,28.2%,27.8%,24.9%,24.7%,12.9%,11.3%,6.2%,12.6%,21.2%,26.9%,5.4%,10.0%,31.3%,20.4%,3.9%,4.6%,20.8%,32.3%,5.3%,8.7%,58.0%,59.0%,34.5%,41.7%,1.3%,3.0%,83.1%,69.7%,90.0%,57.4%,27.3%,16.2%,9.0%,5.5%,8.5%,4.0%,14.4%,3.9%," $14,382 "," $11,889 "," $48,000 "," $38,589 "," $20,755 "," $16,187 ", 2.08 , 92 , 1.67 ,1,1,3,3,1,1,2.5,3,2,2,3
"Fort Wayne city, IN"," 265,444 "," 20,271 ",7.6%,65.5%,62.3%,64.8%,77.3%,66.1%,93.1%,93.6%,97.8%,94.2%,4.4%,2.1%,26.0%,21.6%,25.7%,15.6%,17.3%,16.9%,6.2%,8.8%,18.0%,25.9%,4.1%,17.7%,31.0%,27.2%,5.7%,8.7%,14.9%,21.7%,3.3%,7.3%,63.7%,57.3%,31.3%,34.1%,0.3%,1.3%,91.6%,73.6%,90.8%,53.7%,27.5%,15.8%,9.0%,6.3%,3.9%,1.0%,9.2%,2.2%," $20,455 "," $18,773 "," $44,820 "," $29,136 "," $20,859 "," $19,816 ", 2.00 , 94 , 2.50 ,3,3,1,4,2,2,1.5,1,1,3,1
"Fort Worth city, TX"," 846,117 "," 133,297 ",15.8%,71.7%,62.3%,67.1%,77.6%,75.6%,93.4%,95.3%,97.5%,94.1%,4.7%,1.1%,26.0%,30.4%,21.3%,15.1%,13.0%,12.0%,8.0%,10.3%,15.2%,20.0%,3.9%,12.6%,26.1%,9.6%,3.1%,4.3%,15.3%,18.6%,2.7%,6.9%,59.9%,60.4%,37.0%,38.5%,0.7%,3.0%,86.4%,57.5%,91.0%,55.1%,32.2%,17.5%,10.2%,6.1%,5.7%,1.6%,9.8%,1.4%," $19,800 "," $18,378 "," $55,996 "," $38,400 "," $25,569 "," $25,453 ", 1.58 , 99 , 1.17 ,1,1,1,1,1,2,2,2,3,2,1
"Fremont city, CA"," 234,447 "," 112,527 ",48.0%,77.2%,56.8%,55.7%,77.2%,75.4%,95.3%,97.2%,95.9%,97.3%,4.1%,6.8%,33.1%,38.6%,22.0%,17.8%,11.8%,9.8%,8.1%,6.8%,4.8%,5.7%,2.9%,3.1%,26.3%,31.1%,6.9%,6.2%,6.0%,6.3%,1.4%,0.7%,62.0%,59.4%,43.1%,30.8%,1.6%,3.7%,98.4%,97.9%,95.2%,92.4%,38.1%,64.3%,13.3%,32.8%,4.0%,2.5%,6.0%,0.9%," $23,438 "," $20,859 "," $73,000 "," $90,000 "," $48,870 "," $41,717 ", 4.33 , 2 , 4.67 ,4,5,5,4,5,5,4,3,4,5,4
"Fresno city, CA"," 524,090 "," 102,725 ",19.6%,67.0%,57.2%,60.0%,73.4%,75.0%,88.9%,92.3%,96.7%,93.9%,4.8%,2.3%,26.6%,35.4%,31.0%,19.6%,17.1%,16.8%,8.1%,10.9%,26.3%,28.1%,5.8%,9.3%,51.8%,45.8%,10.7%,15.7%,25.0%,29.7%,5.3%,7.9%,49.3%,46.3%,46.3%,51.1%,2.8%,5.1%,94.3%,82.4%,87.1%,55.4%,24.7%,16.5%,8.3%,5.9%,9.3%,3.4%,7.9%,2.1%," $13,975 "," $13,236 "," $50,906 "," $39,632 "," $28,507 "," $22,527 ", 3.33 , 32 , 3.67 ,2,3,4,4,5,4,3,4,3,3,2
"Garland city, TX"," 241,686 "," 67,368 ",27.9%,79.3%,65.7%,71.0%,74.9%,73.1%,93.4%,96.1%,96.9%,95.0%,4.9%,1.8%,25.3%,31.3%,23.5%,14.9%,13.7%,12.5%,7.0%,13.6%,12.7%,16.4%,3.3%,9.0%,26.9%,11.4%,3.7%,6.8%,11.9%,14.9%,3.0%,9.9%,63.9%,61.4%,39.2%,46.8%,0.8%,3.9%,85.9%,60.9%,92.2%,59.5%,29.5%,18.4%,9.3%,6.0%,4.2%,1.6%,9.0%,1.5%," $20,719 "," $20,362 "," $52,000 "," $35,020 "," $23,740 "," $20,859 ", 2.46 , 80 , 2.17 ,1,1,2,2,3,4,2.75,5,2,1,3
"Gilbert town, AZ"," 243,660 "," 21,966 ",9.0%,84.6%,66.0%,60.4%,77.9%,76.0%,94.8%,94.6%,97.6%,96.6%,7.0%,8.9%,27.8%,39.2%,26.1%,19.6%,12.0%,15.4%,10.4%,10.7%,5.8%,8.1%,3.5%,5.1%,15.0%,14.7%,4.5%,6.5%,3.7%,9.9%,2.1%,3.7%,74.5%,78.1%,33.5%,47.7%,0.3%,2.1%,95.3%,90.8%,97.2%,87.9%,43.2%,44.0%,14.8%,17.2%,5.5%,3.7%,8.5%,3.9%," $22,000 "," $18,773 "," $58,595 "," $56,319 "," $31,288 "," $30,000 ", 2.50 , 78 , 1.50 ,1,1,1,1,1,4,3.5,2,2,5,5
"Glendale city, AZ"," 250,034 "," 44,454 ",17.8%,69.0%,61.6%,63.8%,72.0%,70.7%,93.1%,95.7%,96.8%,95.0%,4.9%,2.6%,30.3%,34.4%,22.7%,19.7%,15.1%,7.7%,7.0%,10.9%,18.9%,23.1%,7.4%,9.9%,35.1%,33.0%,7.5%,13.9%,17.9%,26.9%,4.0%,11.6%,56.8%,55.6%,40.4%,44.8%,1.4%,4.7%,90.1%,77.1%,89.0%,62.6%,22.8%,16.5%,8.0%,6.6%,5.7%,2.6%,10.2%,2.1%," $18,992 "," $17,104 "," $49,000 "," $36,000 "," $22,945 "," $22,661 ", 2.71 , 65 , 2.17 ,2,1,2,1,3,4,3.25,4,3,3,3
